,precision,recall,f1-score,support
helicopter,0.8662420382165605,0.8607594936708861,0.8634920634920635,158.0
helmet,0.7424242424242424,0.6901408450704225,0.7153284671532847,142.0
hexagon,0.7636363636363637,0.6268656716417911,0.6885245901639344,134.0
hockey puck,0.5632183908045977,0.6621621621621622,0.6086956521739131,148.0
hockey stick,0.6746987951807228,0.417910447761194,0.5161290322580645,134.0
horse,0.6203208556149733,0.7891156462585034,0.6946107784431138,147.0
hospital,0.6759776536312849,0.8066666666666666,0.7355623100303952,150.0
hot air balloon,0.743801652892562,0.6666666666666666,0.703125,135.0
hot dog,0.6369047619047619,0.66875,0.6524390243902439,160.0
hot tub,0.5944055944055944,0.5,0.5431309904153354,170.0
hourglass,0.8823529411764706,0.9183673469387755,0.9,147.0
house,0.751412429378531,0.8986486486486487,0.8184615384615385,148.0
house plant,0.8299319727891157,0.8591549295774648,0.8442906574394463,142.0
hurricane,0.3005181347150259,0.42028985507246375,0.3504531722054381,138.0
ice cream,0.8641975308641975,0.9333333333333333,0.8974358974358975,150.0
jacket,0.6917293233082706,0.6618705035971223,0.6764705882352942,139.0
jail,0.7450980392156863,0.7972027972027972,0.7702702702702703,143.0
kangaroo,0.7681159420289855,0.7412587412587412,0.7544483985765125,143.0
key,0.7375886524822695,0.7172413793103448,0.7272727272727273,145.0
keyboard,0.4899328859060403,0.5615384615384615,0.5232974910394266,130.0
knee,0.7633587786259542,0.7194244604316546,0.7407407407407407,139.0
knife,0.5957446808510638,0.6511627906976745,0.6222222222222222,129.0
ladder,0.9246575342465754,0.9375,0.9310344827586207,144.0
lantern,0.76,0.5714285714285714,0.6523605150214592,133.0
laptop,0.6666666666666666,0.8266666666666667,0.7380952380952381,150.0
leaf,0.7887323943661971,0.717948717948718,0.7516778523489933,156.0
leg,0.5416666666666666,0.582089552238806,0.5611510791366906,134.0
light bulb,0.7032967032967034,0.810126582278481,0.7529411764705882,158.0
lighter,0.839622641509434,0.6793893129770993,0.7510548523206751,131.0
lighthouse,0.6783625730994152,0.7733333333333333,0.7227414330218068,150.0
lightning,0.8220338983050848,0.7132352941176471,0.7637795275590551,136.0
line,0.5426008968609866,0.8768115942028986,0.6703601108033241,138.0
lion,0.7304964539007093,0.6912751677852349,0.7103448275862069,149.0
lipstick,0.6878612716763006,0.7628205128205128,0.723404255319149,156.0
lobster,0.5689655172413793,0.4489795918367347,0.5019011406844106,147.0
lollipop,0.6358695652173914,0.841726618705036,0.7244582043343654,139.0
mailbox,0.7867647058823529,0.7925925925925926,0.7896678966789668,135.0
map,0.6127167630057804,0.7066666666666667,0.6563467492260062,150.0
marker,0.4367816091954023,0.2375,0.3076923076923077,160.0
matches,0.5639097744360902,0.5357142857142857,0.5494505494505495,140.0
megaphone,0.8741258741258742,0.8064516129032258,0.8389261744966443,155.0
mermaid,0.8832116788321168,0.8066666666666666,0.8432055749128919,150.0
microphone,0.7236842105263158,0.7638888888888888,0.7432432432432432,144.0
microwave,0.8363636363636363,0.8466257668711656,0.8414634146341463,163.0
monkey,0.5465116279069767,0.6394557823129252,0.5893416927899686,147.0
moon,0.6666666666666666,0.6713286713286714,0.6689895470383276,143.0
mosquito,0.525,0.4772727272727273,0.5,132.0
motorbike,0.708029197080292,0.708029197080292,0.708029197080292,137.0
mountain,0.7375886524822695,0.8253968253968254,0.7790262172284644,126.0
mouse,0.7087378640776699,0.5177304964539007,0.5983606557377049,141.0
moustache,0.8939393939393939,0.7151515151515152,0.7946127946127947,165.0
mouth,0.7329192546583851,0.8082191780821918,0.7687296416938111,146.0
mug,0.5021097046413502,0.7880794701986755,0.6134020618556701,151.0
mushroom,0.8288770053475936,0.8707865168539326,0.8493150684931506,178.0
nail,0.7142857142857143,0.6551724137931034,0.6834532374100719,145.0
necklace,0.7364341085271318,0.6985294117647058,0.7169811320754716,136.0
